Time Stamp,Jumlah Sembuh Perhari,Jumlah Positif Perhari,Jumlah Dirawat Perhari,Jumlah Kumulatif Positif,Jumlah Kumulatif Sembuh
2021-07-06T00:00:00.000Z,15863,31189,14598,2345018,1958553
2021-07-07T00:00:00.000Z,14835,34379,18504,2379397,1973388
2021-07-08T00:00:00.000Z,21185,38391,16354,2417788,1994573
2021-07-09T00:00:00.000Z,28975,38124,8278,2455912,2023548
2021-07-10T00:00:00.000Z,28561,35094,5707,2491006,2052109
2021-07-11T00:00:00.000Z,32615,36197,2575,2527203,2084724
2021-07-12T00:00:00.000Z,34754,40427,4782,2567630,2119478
2021-07-13T00:00:00.000Z,20123,47899,26912,2615529,2139601
2021-07-14T00:00:00.000Z,17762,54517,35764,2670046,2157363
2021-07-15T00:00:00.000Z,19049,56757,36726,2726803,2176412
2021-07-16T00:00:00.000Z,28079,54000,24716,2780803,2204491
2021-07-17T00:00:00.000Z,27903,51952,22957,2832755,2232394
2021-07-18T00:00:00.000Z,29264,44721,14364,2877476,2261658
2021-07-19T00:00:00.000Z,32217,34257,702,2911733,2293875
2021-07-20T00:00:00.000Z,29791,38325,7254,2950058,2323666
2021-07-21T00:00:00.000Z,32887,33772,-498,2983830,2356553
2021-07-22T00:00:00.000Z,36370,49509,11690,3033339,2392923
2021-07-23T00:00:00.000Z,38988,49071,8517,3082410,2431911
2021-07-24T00:00:00.000Z,39767,45416,4234,3127826,2471678
